delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,1,0,12,10,120.52730230009183,121.52428860007785,121.52428860007785,121.54088329989463,space,0.8851181003265083,122.84077330990695,123.14102709991857,123.14102709991857,123.14102709991857,123.14102709991857,600,13,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,1,1,13,3,125.29012649995275,126.29031529999338,126.29031529999338,126.29031529999338,space,0.8134519001469016,127.2230274100788,,127.52356999996118,127.52356999996118,127.52356999996118,567,14,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,1000,exp,1,2,14,11,133.9218727000989,134.92201570002362,134.92201570002362,134.92201570002362,space,1.715293100103736,137.3541832099203,,137.65461419988424,137.65461419988424,137.65461419988424,700,15,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.4,400,unexp,1,3,15,1,139.98717930004932,140.9867849999573,140.9867849999573,140.9867849999573,space,1.4999325000680983,142.90313030998223,,143.2226495000068,143.2226495000068,143.2226495000068,400,16,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.4,1000,exp,1,4,16,4,148.42333590006456,149.41871530003846,149.41871530003846,149.4352937999647,space,0.342632400104776,150.18499270998873,150.50381999998353,150.50381999998353,150.50381999998353,150.50381999998353,600,17,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,1000,exp,1,5,17,5,154.22170020011254,155.217534000054,155.217534000054,155.23432140005752,space,0.9159425001125783,156.85047281007283,,157.1509372999426,157.1509372999426,157.1509372999426,400,18,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309, 3.0002062001731247]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516, 3.0002127999905497]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,400,unexp,1,6,18,2,160.1499926999677,161.15004840004258,161.15004840004258,161.15004840004258,space,0.7458552001044154,162.5995997100603,,162.89968080003746,162.89968080003746,162.89968080003746,700,19,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309, 3.0002062001731247, 1.8662810998503119]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516, 3.0002127999905497, 1.8662874998990446]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,1,7,19,9,164.76563960011117,165.76572840008885,165.76572840008885,165.76572840008885,space,0.7975836000405252,166.68198421001435,,166.98790859989822,166.98790859989822,166.98790859989822,800,20,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309, 3.0002062001731247, 1.8662810998503119, 2.298795700073242]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516, 3.0002127999905497, 1.8662874998990446, 2.2988027001265436]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,1,8,20,6,169.28132650000043,170.28133610007353,170.28133610007353,170.28133610007353,space,0.5850012002047151,170.99796990989708,,171.29790299991146,171.29790299991146,171.29790299991146,800,21,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309, 3.0002062001731247, 1.8662810998503119, 2.298795700073242, 1.7444667997770011]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516, 3.0002127999905497, 1.8662874998990446, 2.2988027001265436, 1.7444741998333484]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,400,unexp,1,9,21,0,173.0357876000926,174.0308028999716,174.0308028999716,174.04754290007986,space,0.519619100028649,174.6804702098947,174.98057239991613,174.98057239991613,174.98057239991613,174.98057239991613,900,22,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674, 2.1489011000376195, 6.398924299981445, 2.3335402000229806, 5.219970700098202, 3.73915549996309, 3.0002062001731247, 1.8662810998503119, 2.298795700073242, 1.7444667997770011, 2.3927494999952614]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141, 2.148905700072646, 6.398934199940413, 2.3335470999591053, 5.219978800043464, 3.7391639000270516, 3.0002127999905497, 1.8662874998990446, 2.2988027001265436, 1.7444741998333484, 2.3927678000181913]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
